index ,code        ,current     ,time
  187 ,000150.XSHG , 11874.724  ,2024-03-19 15:00:00
  188 ,000151.XSHE ,    10.8    ,2024-03-19 15:00:00
  189 ,000151.XSHG ,  1556.4045 ,2024-03-19 15:00:00
  190 ,000152.XSHG ,  2428.5247 ,2024-03-19 15:00:00
  191 ,000153.XSHE ,     7.94   ,2024-03-19 15:00:00
  192 ,000153.XSHG ,  2955.7905 ,2024-03-19 15:00:00
  193 ,000155.XSHE ,    11.39   ,2024-03-19 15:00:00
  194 ,000155.XSHG ,  2573.39   ,2024-03-19 15:00:00
  195 ,000156.XSHE ,     7.42   ,2024-03-19 15:00:00
  196 ,000157.XSHE ,     7.85   ,2024-03-19 15:00:00
  197 ,000158.XSHE ,     8.71   ,2024-03-19 15:00:00
  198 ,000158.XSHG ,  1331.8119 ,2024-03-19 15:00:00
  199 ,000159.XSHE ,     5.64   ,2024-03-19 15:00:00
  200 ,000159.XSHG ,  2846.3085 ,2024-03-19 15:00:00
  201 ,000160.XSHG ,  1758.5701 ,2024-03-19 15:00:00
  202 ,000161.XSHG ,  1482.5425 ,2024-03-19 15:00:00
  203 ,000162.XSHG ,  2942.4443 ,2024-03-19 15:00:00
  204 ,000166.XSHE ,     4.57   ,2024-03-19 15:00:00
  205 ,000300.XSHG ,  3579.2673 ,2024-03-19 15:00:00
  206 ,000301.XSHE ,    10.54   ,2024-03-19 15:00:00
  207 ,000333.XSHE ,    62.6    ,2024-03-19 15:00:00
  208 ,000338.XSHE ,    16.23   ,2024-03-19 15:00:00
  209 ,000400.XSHE ,    25.45   ,2024-03-19 15:00:00
  210 ,000401.XSHE ,     5.69   ,2024-03-19 15:00:00
  211 ,000402.XSHE ,     3.33   ,2024-03-19 15:00:00
  212 ,000403.XSHE ,    28.02   ,2024-03-19 15:00:00
  213 ,000404.XSHE ,     7.0    ,2024-03-19 15:00:00
  214 ,000407.XSHE ,     3.13   ,2024-03-19 15:00:00
  215 ,000408.XSHE ,    31.44   ,2024-03-19 15:00:00
